"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Eric,dirichlet,100,200,100,0.5,0.5,-2.14546612675761e-08(2.25800642586077e-07),0.924494217371886
Coda,dirichlet,100,200,100,0.5,0.5,3.50220124957915e-08(1.81863146600197e-07),0.847687530935111
Vani,dirichlet,100,200,100,0.5,0.5,0.0183300660787864(0.0192285106597502),0.342772306491295

Eric,dirichlet,250,400,100,0.5,0.5,-4.95107930948495e-07(4.45224236790505e-07),0.268813384061637
Coda,dirichlet,250,400,100,0.5,0.5,6.76323273976251e-08(3.46680395464352e-07),0.845725806185797
Vani,dirichlet,250,400,100,0.5,0.5,-0.0117619319975333(0.0176958968006821),0.507806877169954

Eric,dirichlet,500,500,100,0.5,0.5,2.87397849808956e-07(4.579654700641e-07),0.53174126362084
Coda,dirichlet,500,500,100,0.5,0.5,1.92688282146665e-07(3.05462380357798e-07),0.529619291695004
Vani,dirichlet,500,500,100,0.5,0.5,0.0054811003769694(0.0113809945880718),0.631152167869879

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Eric,lognormal,100,200,100,0.5,0.5,-2.42726819017445e-08,0.600268740138944
Coda,lognormal,100,200,100,0.5,0.5,-3.20531314150414e-08,0.406302693599548
CoCo,lognormal,100,200,100,0.5,0.5,-0.336573383804286,1.3107930594184e-05
Vani,lognormal,100,200,100,0.5,0.5,-0.410285965692266,1.88687154881228e-10

Eric,lognormal,500,500,100,0.5,0.5,-1.59033387689849e-08,0.627755674809811
Coda,lognormal,500,500,100,0.5,0.5,-1.13443799770551e-08,0.664317114755972
CoCo,lognormal,500,500,100,0.5,0.5,0.0687810800224531,0.0263717641013317
Vani,lognormal,500,500,100,0.5,0.5,-0.103315878726883,4.88419399455987e-05

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Eric,lognormal,100,200,2,0.5,0.5,-1.06858483393615e-07,0.502531965993115
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Vani,lognormal,100,200,2,0.5,0.5,0.0345684202001292,0.949276258440233
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Vani,lognormal,100,200,2,0.5,0.5,0.0345684202001292,0.949276258440233
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Vani,lognormal,100,200,2,0.5,0.5,0.0345684202001292,0.949276258440233
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Vani,lognormal,100,200,2,0.5,0.5,0.0345684202001292,0.949276258440233
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Vani,lognormal,100,200,2,0.5,0.5,0.0345684202001292,0.949276258440233
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
CoCo,lognormal,100,200,2,0.5,0.5,-0.191688401627877,0.76136382608967
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
CoCo,lognormal,100,200,2,0.5,0.5,-0.191688401627877,0.76136382608967
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
CoCo,lognormal,100,200,2,0.5,0.5,-0.191688401627877,0.76136382608967
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

"model","data_type","n","p","N_sim","tau","rho","sum","p value"
Debi,lognormal,100,200,2,0.5,0.5,0,NaN

